text_no_spaces;text_restored
Microsoftпредложила;Microsoft предложила
macOSВ2003;macOS В 2003
РоманМорозовКремниевыйоверлорд;Роман Морозов Кремниевый оверлорд
атакжеанонсировала;а также анонсировала
компаниюNVPhilips;компанию NV Philips
3Comиз;3Com из
некоторымдостаточноагрессивной;некоторым достаточно агрессивной
В1978;В 1978
ихимии;и химии
ЯматоЯпонияИсторияКомпания;Ямато Япония История Компания
Xiaomiоснащенвстроенным;Xiaomi оснащен встроенным
процессорвключающий5Gмодембыл;процессор включающий 5Gмодем был
PlayStationобщим;PlayStation общим
продаватьмузыкальные;продавать музыкальные
нарынок;на рынок
представиласвойпервыйвидеомагнитофон;представила свой первый видеомагнитофон
SystemsGroupупалс;Systems Group упал с
постепенноеуменьшениeчисла;постепенное уменьшениe числа
В1947Сэкирёосновал;В 1947 Сэкирё основал
арендужильяи;аренду жилья и
Incучредителями;Inc учредителями
июня2010;июня 2010
ксторонним;к сторонним
наблюдательногосовета;наблюдательного совета
годаSonyM3и;года Sony M3 и
SonyMusic;Sony Music
такжечленправленияICICI;также член правления ICICI
поддержкунабора;поддержку набора
чтобыустанавливатьцены;чтобы устанавливать цены
СШАвсеотношенияс;США все отношения с
AdvancedMicroDevices;Advanced Micro Devices
местопопроизводствумобильных;место по производству мобильных
бизнесстратегиякомпаниив;бизнесстратегия компании в
8МБАудиоканалы64;8 МБ Аудиоканалы 64
подделываетфилософиюиобраз;подделывает философию и образ
моглиприпродаже;могли при продаже
солнечныхэнергосистемВсвязи;солнечных энергосистем В связи
изготовилиспециальногоробота;изготовили специального робота
составкоторого;состав которого
строкув;строку в
1984телевизионный;1984 телевизионный
1963годукомпанияPhilips;1963 году компания Philips
биржампредъявилаему;биржам предъявила ему
своихвозможностейлибо;своих возможностей либо
наследуетбольшуючастьсемейной;наследует большую часть семейной
Свыпуском;С выпуском
MonsterВихоправу;Monster В их оправу
этотпериодсоставил30;этот период составил 30
апрель2023годасеть;апрель 2023 года сеть
процессоровграфических;процессоров графических
Mayberryстаршийвицепрезидентглавный;Mayberry старший вицепрезидент главный
PCInternationalLimited;PC International Limited
крупноенаправлениеMicrosoftDynamics;крупное направление Microsoft Dynamics
собиралисьсерверы;собирались серверы
заместительпредседателя;заместитель председателя
ЮжнойКореиПроблемыантимонопольного;Южной Кореи Проблемы антимонопольного
19681975годахГордон;19681975 годах Гордон
Гринписсказалчто;Гринпис сказал что
ДжеффриБрайанаСтраубела;Джеффри Брайана Страубела
изкоторыхявляетсясенсорным;из которых является сенсорным
этобизнесподразделение;это бизнесподразделение
новыхонлайнсервисовстриминговыйвидеосервис;новых онлайнсервисов стриминговый видеосервис
расширениезаводапо;расширение завода по
соглашениепо;соглашение по
акцииторгуютсянабирже;акции торгуются на бирже
какTeslaMotorsбыла;как Tesla Motors была
работающаянаполнойчастоте;работающая на полной частоте
июле2009;июле 2009
различнойфункциональностьюнои;различной функциональностью но и
аббревиатураот;аббревиатура от
олимпийскихпартнёровКомпанияявляется;олимпийских партнёров Компания является
производитмножествонаушниковв;производит множество наушников в
получила51;получила 51
ПКдляпередачи;ПК для передачи
Будучиобделенавниманием;Будучи обделена вниманием
судКитаяобязал;суд Китая обязал
январе2010;январе 2010
274млнSiriапрель;274 млн Siri апрель
ЮжнаяКореякоторыепроизводят;Южная Корея которые производят
отнепосредственногоруководствакомпанией;от непосредственного руководства компанией
Компанияполучиламеждународноепризнание;Компания получила международное признание
В1970хгодах;В 1970х годах
былавицепредседателемсовета;была вицепредседателем совета
иIntelMax;и Intel Max
оборудованиеоборудованиебеспроводных;оборудование оборудование беспроводных
подтемпературутела;под температуру тела
охватомоколо700;охватом около 700
iCloudAppleMapsи;iCloud Apple Maps и
продавцамкомпьютеровчтобы;продавцам компьютеров чтобы
этоотсылкойк;это отсылкой к
ИсторияNintendo;История Nintendo
будущемкомиссиянеподаст;будущем комиссия не подаст
1983годанадолжность;1983 года на должность
годувКалифорниипри;году в Калифорнии при
композитногоSVideoилиRGBсигнала;композитного SVideo или RGBсигнала
иофициальнозарегистрировалифирму;и официально зарегистрировали фирму
инновационнойа;инновационной а
XiaomiMi5вмарте;Xiaomi Mi5 в марте
BVIntelIrelandHoldings;BV Intel Ireland Holdings
миреПо;мире По
Вместоэтогодвухмерныеэлементы;Вместо этого двухмерные элементы
лицензиибыли;лицензии были
конце1970хгодов;конце 1970х годов
сигналаПоддерживаемыеразрешения;сигнала Поддерживаемые разрешения
производителейиих;производителей и их
назаводахFoxconnв;на заводах Foxconn в
удалосьвыяснить;удалось выяснить
PlayStationа;PlayStation а
производительMicronСкорость;производитель Micron Скорость
годахбылвременноисполняющим;годах был временно исполняющим
деловойпереписки;деловой переписки
вЯпониипрезидентSony;в Японии президент Sony
игрпредоставляяразработчикам;игр предоставляя разработчикам
графикойЖелаядистанционировать;графикой Желая дистанционировать
млрдподразделениекорпорацииIntel;млрд подразделение корпорации Intel
CapitalResearch;Capital Research
складапроводилаобязательные;склада проводила обязательные
LenovoUnitedStatesInc;Lenovo United States Inc
плохиеусловияжизни;плохие условия жизни
угольнойнитьюОднако;угольной нитью Однако
Выручказафинансовый;Выручка за финансовый
модулейЕдинственнойпроблемой;модулей Единственной проблемой
неподалёкуот;неподалёку от
апрель2023года;апрель 2023 года
В1993году;В 1993 году
заднейпанелиприставкиЭта;задней панели приставки Эта
планировалосьяпонскойкомпании;планировалось японской компании
Nintendo3DSотсвоей;Nintendo 3DS от своей
облачныхтехнологийУслугамикомпании;облачных технологий Услугами компании
иiPadпользовавшихсявысоким;и iPad пользовавшихся высоким
Pikmin3AssassinsCreed;Pikmin 3 Assassins Creed
Риччиовицепрезидентпо;Риччио вицепрезидент по
278акций;278 акций
Microsoftприняларешениепродавать;Microsoft приняла решение продавать
Стаффордширев2018году;Стаффордшире в 2018 году
17марта2014;17 марта 2014
уSonyне;у Sony не
вмиреForbesGlobal;в мире Forbes Global
BluetoothВ;Bluetooth В
ТурцииОАЭиКитае;Турции ОАЭ и Китае
началсядовольноранооригинальная;начался довольно рано оригинальная
SamsungSDIХимическая;Samsung SDI Химическая
производствакомпанииЭтопозволило;производства компании Это позволило
конечномитоге;конечном итоге
2024годаколичество;2024 года количество
представленымоделиAMDAthlon;представлены модели AMD Athlon
ранеевосновном;ранее в основном
маркетингуCMOуправлениюперсоналом;маркетингу CMO управлению персоналом
современныхинтерфейсов;современных интерфейсов
ядраAndroidи;ядра Android и
поизготовлениюпластмассовыхдеталей;по изготовлению пластмассовых деталей
HoldingsBVIntel;Holdings BV Intel
сентябрю2013;сентябрю 2013
3квартала2017;3 квартала 2017
годувСША;году в США
Мобильныеустройства;Мобильные устройства
XXвека;XX века
изкомпьютерногобизнеса;из компьютерного бизнеса
выйтина;выйти на
изкоторых;из которых
врезультатеприобретениякомпаний;в результате приобретения компаний
c117на;c 117 на
чтобыустанавливать;чтобы устанавливать
состояниюна202324финансовый;состоянию на 202324 финансовый
производствуисккомпанииCisco;производству иск компании Cisco
TR4M6AMDAM4;TR4 M6 AMD AM4
iPhone13;iPhone 13
телефоновMotorola;телефонов Motorola
внедренаидеяпродажичерез;внедрена идея продажи через
графическийизвуковой;графический и звуковой
такжеLGElectronicsюжнокорейская;также LG Electronics южнокорейская
былапоказана;была показана
появилосьбольшоеколичествосовременной;появилось большое количество современной
вицепрезидентифинансовый;вицепрезидент и финансовый
местоглавногоразвлекательногоустройства;место главного развлекательного устройства
апреле2022;апреле 2022
протяженииследующих;протяжении следующих
стартовалов2017;стартовало в 2017
виюле;в июле
оснащаются70;оснащаются 70
3платятзакаждую;3 платят за каждую
годуHuawei;году Huawei
недорогуюмодель;недорогую модель
PaaSAmazonWebServices;PaaS Amazon Web Services
чтопродажи;что продажи
НАТОИзраиляСириии;НАТО Израиля Сирии и
5млрдвгод;5 млрд в год
обозначениясегментов;обозначения сегментов
посравнениюсбыстрым;по сравнению с быстрым
штрафавсоветдиректоров;штрафа в совет директоров
вИндииЭтотсудебный;в Индии Этот судебный
распространяетсянапечатныеплаты;распространяется на печатные платы
предпринимателиполучилифинансированиеи;предприниматели получили финансирование и
ВенесуэлаLLC;Венесуэла LLC
корпорацияуправляется;корпорация управляется
попричинерешенияо;по причине решения о
MSXирабочиестанции;MSX и рабочие станции
засчёт;за счёт
первенствапринадлежаломикрокомпьютеруАльтаир;первенства принадлежало микрокомпьютеру Альтаир
В1995годукомпания;В 1995 году компания
3с;3 с
ядерсерверныхSoC;ядер серверных SoC
прибыль26млрддолл;прибыль 26 млрд долл
выручказа2022;выручка за 2022
заметноулучшилипроизводительность;заметно улучшили производительность
AssetManagementCo;Asset Management Co
Основныемощностипопроизводству;Основные мощности по производству
директорIntelЛипБуТан;директор Intel ЛипБу Тан
LANSMEREМаркетинги;LANSMERE Маркетинг и
MetroidTheLegend;Metroid The Legend
процессорыAthlon200GE220GE;процессоры Athlon 200GE 220GE
Пройасобвинил;Пройас обвинил
2017года;2017 года
которыхимприходилосьвтискивать;которых им приходилось втискивать
подразделениепопроизводствуполупроводников;подразделение по производству полупроводников
имеющегосявраспоряжении;имеющегося в распоряжении
годаамериканскоеправительственноеагентство;года американское правительственное агентство
дляпроизводстваираспространения;для производства и распространения
известнойкак;известной как
версиюоперационнойсистемыWindows;версию операционной системы Windows
компаниихранилось10;компании хранилось 10
данныхифайлов;данных и файлов
фабриказакрыласьвконце;фабрика закрылась в конце
реселлеровнеопр;реселлеров неопр
2022г;2022 г
коммуникациямCCOСюйЯн;коммуникациям CCO Сюй Ян
ФилипсМарниксван;Филипс Марникс ван
театрамодернизациятехнической;театра модернизация технической
книгнопозже;книг но позже
программевыделили59млрд;программе выделили 59 млрд
иконтакты;и контакты
1Стоимостьзавода;1 Стоимость завода
мониторовThinkPad;мониторов ThinkPad
наложиливето;наложили вето
Общийдоступк;Общий доступ к
былозарегистрированооколо2100;было зарегистрировано около 2100
иобразование;и образование
Wolinстаршийвицепрезидент;Wolin старший вицепрезидент
неменееMicrosoft;не менее Microsoft
Kindleав;Kindle а в
отанглhorsepower;от англ horse power
ноутбукисмартфоны;ноутбуки смартфоны
1992году;1992 году
использоватьактивноПриставкупланировалось;использовать активно Приставку планировалось
несколькоулучшенноев;несколько улучшенное в
BrosUновые;Bros U новые
достиг1млрддолларов;достиг 1 млрд долларов
учредилиподразделениеSonyComputer;учредили подразделение Sony Computer
былвызванобесцениваниеминвестиций;был вызван обесцениванием инвестиций
одноухоXiaomi;одно ухо Xiaomi
изменениячемзаметно;изменения чем заметно
медленныхзарядокдо22;медленных зарядок до 22
основеоблачныхтехнологийУслугами;основе облачных технологий Услугами
профессорКалифорнийскогоуниверситетаБарбара;профессор Калифорнийского университета Барбара
неопрДатаобращения22;неопр Дата обращения 22
большинстворазногласий;большинство разногласий
чтона2436лучше;что на 2436 лучше
разработкупрограммногообеспеченияЗатем;разработку программного обеспечения Затем
непосредственнойпреемницей;непосредственной преемницей
экологическиепроблемыВиюне;экологические проблемы В июне
NESв;NES в
изпервыхтехнологическихкомпаний;из первых технологических компаний
запродвижение;за продвижение
упраздненаПо;упразднена По
былоткрытновыйкампус;был открыт новый кампус
сервисыGoogle23декабря;сервисы Google 23 декабря
продуктахчтобыонисмогли;продуктах чтобы они смогли
398млрддоллароввключая;398 млрд долларов включая
прошивкинабазеОС;прошивки на базе ОС
значительнадоляввыручке;значительна доля в выручке
Всегодляприставки;Всего для приставки
Смартфоныкомпаниивыпускаются;Смартфоны компании выпускаются
подсчётарезультатов;подсчёта результатов
с64;с 64
большойдисплей;большой дисплей
компаниииегосменит;компании и его сменит
COLtd;CO Ltd
вставитьвприводконсоли;вставить в привод консоли
длятелевизоровв;для телевизоров в
AiriPadи;Air iPad и
XimisиRespironics;Ximis и Respironics
сохраняетсвоюработоспособность;сохраняет свою работоспособность
такжегрузовогоэлектромобиляTesla;также грузового электромобиля Tesla
менеечемзагод;менее чем за год
изученияконъюнктурырынка;изучения конъюнктуры рынка
неимеетотношенияк;не имеет отношения к
2014годубыло;2014 году было
чтоделаетуправлениеэффективным;что делает управление эффективным
CEOсоктября;CEO с октября
MSDOSкотораяявляласьпереименованной;MSDOS которая являлась переименованной
1997года;1997 года
APoonнезависимыйвицепредседатель;A Poon независимый вицепредседатель
ЛитератураНиколайНадеждинКак;Литература Николай Надеждин Как
местов;место в
известныхсерийигрдля;известных серий игр для
егоаналогAMD;его аналог AMD
DonkeyKong;Donkey Kong
натерриторииСШАВ;на территории США В
болеечемна5;более чем на 5
вСША56;в США 56
ейжеещё3;ей же ещё 3
ущербкорректности;ущерб корректности
чтодвекомпаниисоздадут;что две компании создадут
апреля2019;апреля 2019
ЯпонииPlayStationпонадобилосьбольше;Японии PlayStation понадобилось больше
12октября2015;12 октября 2015
развлеченийи;развлечений и
1995Juneno;1995 June no
связисчембыло;связи с чем было
иуслуг;и услуг
безопасностипереднегопассажирского;безопасности переднего пассажирского
экономклассаLOQ;экономкласса LOQ
такжеAmazonWeb;также Amazon Web
Поитогампервыхшести;По итогам первых шести
основалновую;основал новую
ав1978году;а в 1978 году
Sи;S и
смартфономiPhoneТакже;смартфоном iPhone Также
B840SocketAM5для;B840 Socket AM5 для
стартапв;стартап в
безтекстур;без текстур
времёнплотины;времён плотины
представительстваврегионе;представительства в регионе
согласнокоторым;согласно которым
около15выручки;около 15 выручки
покаего;пока его
большеподходитдля;больше подходит для
другихпроизводителейразработка;других производителей разработка
корейскогоханджскогословаSamsung;корейского ханджского слова Samsung
годанадолжность;года на должность
ноутбуковпринтеровМФУбытовой;ноутбуков принтеров МФУ бытовой
счёткомпьютерной;счёт компьютерной
17человек;17 человек
проходилочерез;проходило через
мощныепортативныеигровыесистемы;мощные портативные игровые системы
68P36;68 P 36
электромобили9Зарубежныепродажи;электромобили 9 Зарубежные продажи
другиетелепрограммы;другие телепрограммы
егоучастникиделят;его участники делят
русДата;рус Дата
АвтомобилиAutomotive;Автомобили Automotive
VenkataMurthyMRenduchintala;Venkata Murthy M Renduchintala
расстояниив;расстоянии в
иработусосвоими;и работу со своими
Противвыступилиистарые;Против выступили и старые
такназываемая;так называемая
2012годакомпанияLenovo;2012 года компания Lenovo
далучшеИтогомстали;да лучше Итогом стали
нарынкиНидерландов;на рынки Нидерландов
вместоуток;вместо уток
именнотойконфигурации;именно той конфигурации
платформудляигрблагодаря;платформу для игр благодаря
компаниикак;компании как
входитвправление;входит в правление
самостоятельногоремонтагаджетаВ;самостоятельного ремонта гаджета В
этоулучшилоположение;это улучшило положение
подразделениепо;подразделение по
Performanceверсии;Performance версии
разметкистраницпод;разметки страниц под
Microcreditпотребительское;Microcredit потребительское
вЕвропе;в Европе
продукциичерезсеть;продукции через сеть
годупремияжурнала;году премия журнала
этов;это в
Androidнасмартфонах;Android на смартфонах
ГрегуарMichael;Грегуар Michael
seriesс2008;series с 2008
модельSempron;модель Sempron
MikeDaisey21Dog;Mike Daisey 21 Dog
сообщилачто;сообщила что
50млнфунтов;50 млн фунтов
перваявРоссии;первая в России
1968года;1968 года
известночторыночная;известно что рыночная
решиличтоданный;решили что данный
Ямаутинебылосына;Ямаути не было сына
еговозможностейужебыл;его возможностей уже был
TVисмартдинамикEcho;TV и смартдинамик Echo
2021годаAmazon;2021 года Amazon
дочерняякомпанияAmazonWeb;дочерняя компания Amazon Web
Напримерпользователипродуктов;Например пользователи продуктов
В1990годувышла;В 1990 году вышла
помогалиподавлятьпротестыСотрудники;помогали подавлять протесты Сотрудники
скрытойрекламе;скрытой рекламе
марта2019сталоизвестно;марта 2019 стало известно
AMDAM3;AMD AM3
графическиекартызвуковые;графические карты звуковые
ибывший;и бывший
компактдисковнадкоторойон;компактдисков над которой он
игровогокомпьютера;игрового компьютера
годакомпания;года компания
Заводыосновнаяфабрикапо;Заводы основная фабрика по
компьютеровклавиатурымышии;компьютеров клавиатуры мыши и
памятиШтабквартирарасположенав;памяти Штабквартира расположена в
022граммаиможет;022 грамма и может
Companyof;Company of
XiaomiGlobalидиректора;Xiaomi Global и директора
показигрдляприставки;показ игр для приставки
открытиявыставкиElectronic;открытия выставки Electronic
насмартфонахработал;на смартфонах работал
Россиискомпаниями;России с компаниями
аккумуляторовпод;аккумуляторов под
Nast5сентября2012;Nast 5 сентября 2012
электромобиляSU7Speed;электромобиля SU7 Speed
Позжевся;Позже вся
чемугольные;чем угольные
объявилаопереходена;объявила о переходе на
входит3модели;входит 3 модели
БрендIntelчасть1;Бренд Intel часть 1
математикичтообеспечиваетнеобходимую;математики что обеспечивает необходимую
двухлетПозже;двух лет Позже
RaiderиFinal;Raider и Final
которогобыл;которого был
чтоавария;что авария
чтообеспечило;что обеспечило
этотподходобходился;этот подход обходился
стоимостинафондовомрынке;стоимости на фондовом рынке
причинерасовой;причине расовой
изсамыхузнаваемых;из самых узнаваемых
CompanyИностранное;Company Иностранное
функциифотографированиязаписивидеороликов;функции фотографирования записи видеороликов
источникиэнергиидляпитания;источники энергии для питания
проданныхигриприставок;проданных игр и приставок
дразвитиемсетейбеспроводной;д развитием сетей беспроводной
MicrosoftDynamics32выручки;Microsoft Dynamics 32 выручки
1985годукомпания;1985 году компания
30тыс;30 тыс
пословам;по словам
этапебольшевсех;этапе больше всех
учёныеПринстонскогоуниверситетаи;учёные Принстонского университета и
службыNintendo;службы Nintendo
вкомпаниюбыли;в компанию были
Метавикивспомогательныйвикисайт;Метавики вспомогательный викисайт
выпускатьматеринскиеплаты;выпускать материнские платы
24летОбе;24 лет Обе
имногих;и многих
SamsungLife;Samsung Life
развлекательнымисистемамиХотя;развлекательными системами Хотя
2018годаакции;2018 года акции
законодательнымиособенностямиштата;законодательными особенностями штата
PlayStationPSone;PlayStation PSone
Ванчжоуподзалог10;Ванчжоу под залог 10
областиграфики;области графики
X58EIntel;X58 E Intel
иКГТУ;и КГТУ
странеОбе;стране Обе
годасудштата;года суд штата
Ericssonвсвязи;Ericsson в связи
водителязарулёмавтомобиля;водителя за рулём автомобиля
выставкекакпосетительот;выставке как посетитель от
в2008году;в 2008 году
такойвозможностиодновременно;такой возможности одновременно
контроллерновой;контроллер новой
сделалаэтодлявсех;сделала это для всех
акцийкрупнейшими;акций крупнейшими
случайгибели;случай гибели
версияхспрошивкойMIUI;версиях с прошивкой MIUI
былаанонсированаоперационная;была анонсирована операционная
Шотткив1969;Шоттки в 1969
всоответствующемблогевкратце;в соответствующем блоге вкратце
микропроцессоровПомимо;микропроцессоров Помимо
LegendofZelda;Legend of Zelda
ивпоследующих;и в последующих
генеральныйдиректорв20192021;генеральный директор в 20192021
в1975годукомпании;в 1975 году компании
электромобилейРаннеевмарте;электромобилей Раннее в марте
ипоисковой;и поисковой
WebServicesпредоставление;Web Services предоставление
делопопроизводствурисовой;дело по производству рисовой
инвесторысталимассово;инвесторы стали массово
64далеевпятом;64 далее в пятом
2022годраспределились;2022 год распределились
сотрудниковкомпании;сотрудников компании
компаниявпервые;компания впервые
шифрованияинформация;шифрования информация
CoLtd;Co Ltd
производствои;производство и
14выручкиMobileyeразработка;14 выручки Mobileye разработка
вPlayStation2;в PlayStation 2
разработатьивыпустить;разработать и выпустить
российскихвузовВШЭ;российских вузов ВШЭ
приложенийВ1984;приложений В 1984
будетвынужденудалитьвсе;будет вынужден удалить все
до4000спрайтов;до 4000 спрайтов
поднимаястандартыи;поднимая стандарты и
изображениебезкакойлибо;изображение без какойлибо
корпорацииEMCсформированодва;корпорации EMC сформировано два
ФилипсМарниксванГннекен;Филипс Марникс ван Гннекен
годаОгавозглавил;года Ога возглавил
